slug,name,commune_nom,old_lat,old_lon,new_lat,new_lon,distance_m,confiance,n_sources,sources_used,inter_max_m,osm_match,wikidata_match,ign_match,applied,pieve_declared,pieve_geocoded,pieve_concordant,doyenne_declared,doyenne_geocoded,doyenne_concordant,note
san_nicolao_petreto_bicchisano,San Nicolao (Petreto-Bicchisano),Petreto-Bicchisano,41.73,9.0,41.78910,8.97272,6950.0,FAIBLE,1,ign,0.0,,,"41.78910,8.97272",,pieve_istria,pieve_istria,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m
san_pietro_fozzano,San Pietro (Fozzano),Fozzano,41.805,8.935,42.49244,9.35636,83962.4,FAIBLE,1,ign,0.0,,,"42.49244,9.35636",,pieve_sartene,pieve_casacconi,False,doyenne_prunelli_taravo_valinco,doyenne_du_golo,False,DIST_OVER_5000m
san_pietro_olmeto,San Pietro (Olmeto),Olmeto,41.7,8.9,42.49244,9.35636,95823.0,FAIBLE,1,ign,0.0,,,"42.49244,9.35636",,pieve_istria,pieve_casacconi,False,doyenne_prunelli_taravo_valinco,doyenne_du_golo,False,DIST_OVER_5000m
san_pietro_sampolo,San Pietro (Sampolo),Sampolo,41.92,9.27,42.49244,9.35636,64048.8,FAIBLE,1,ign,0.0,,,"42.49244,9.35636",,pieve_verde,pieve_casacconi,False,doyenne_prunelli_taravo_valinco,doyenne_du_golo,False,DIST_OVER_5000m
san_quilicu_viggianello,San Quilicu (Viggianello),Viggianello,41.64,8.85,41.68457,8.94150,9074.0,FAIBLE,1,ign,0.0,,,"41.68457,8.94150",,pieve_sartene,pieve_sartene,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m
san_rocco_viggianello_bas,San Rocco (Viggianello bas),Viggianello,41.755,8.92,41.68457,8.94150,8031.7,FAIBLE,1,ign,0.0,,,"41.68457,8.94150",,pieve_sartene,pieve_sartene,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m
santa_lucia_cauro,Santa Lucia (Cauro),Cauro,41.975,8.82,41.91444,8.92431,10944.0,MOYENNE,2,osm+ign,381.5,"41.91553,8.92253",,"41.91335,8.92609",,pieve_ornano,pieve_ornano,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m
santa_lucia_serra_di_ferro,Santa Lucia (Serra-di-Ferro),Serra-di-Ferro,41.76,8.98,41.76591,8.82294,13043.4,FAIBLE,1,ign,0.0,,,"41.76591,8.82294",,pieve_istria,pieve_ornano,False,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m
santa_maria_arbellara,Santa Maria (Arbellara),Arbellara,41.735,8.85,42.70849,9.43453,118465.5,FAIBLE,1,ign,0.0,,,"42.70849,9.43453",,pieve_sartene,pieve_brando,False,doyenne_prunelli_taravo_valinco,,?,DIST_OVER_5000m
santa_maria_assunta_campodonico,Santa Maria Assunta (Campodonico),Campo,42.295,9.35,42.58897,9.04299,41269.5,FAIBLE,1,ign,0.0,,,"42.58897,9.04299",,pieve_ornano,pieve_balagne,False,doyenne_prunelli_taravo_valinco,doyenne_balagne,False,DIST_OVER_5000m
santa_maria_cozzano_ghisoni,Santa Maria (Cozzano-Ghisoni),Cozzano,42.035,9.31,42.10349,9.21221,11097.9,FAIBLE,1,ign,0.0,,,"42.10349,9.21221",,pieve_verde,pieve_ghisoni,False,doyenne_prunelli_taravo_valinco,doyenne_plaine_orientale,False,DIST_OVER_5000m
santa_maria_della_neve_grosseto_prugna_basse,Santa Maria della Neve (Grosseto-Prugna basse),Grosseto-Prugna,41.905,8.798,41.72247,8.98993,25786.4,FAIBLE,1,ign,0.0,,,"41.72247,8.98993",,pieve_ornano,pieve_sartene,False,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m | RETRY_VARIANT:Santa Maria della Neve
santa_maria_figaniella_figaniella_sollacaro,Santa Maria Figaniella (Figaniella (Sollacaro)),Sollacaro,41.699,8.931,41.70286,9.00105,5831.6,FAIBLE,1,ign,0.0,,,"41.70286,9.00105",,pieve_istria,pieve_sartene,False,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m
santa_maria_propriano_baraci,Santa Maria (Propriano (Baraci)),Propriano,41.67,8.9,41.64442,8.90400,2863.4,FAIBLE,1,ign,0.0,,,"41.64442,8.90400",,pieve_sartene,pieve_sartene,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,
santa_maria_urbalacone,Santa Maria (Urbalacone),Urbalacone,41.83,8.87,42.02208,8.88949,21419.0,FAIBLE,2,osm+ign,35576.8,"41.87622,8.97793",,"42.16794,8.80106",,pieve_ornano,pieve_mezzana,False,doyenne_prunelli_taravo_valinco,doyenne_ajaccio,False,DIST_OVER_5000m | RETRY_VARIANT:Santa Maria
santa_maria_zicavo_haute,Santa Maria (Zicavo haute),Zicavo,41.875,9.108,41.90815,9.12833,4052.5,FAIBLE,1,ign,0.0,,,"41.90815,9.12833",,pieve_verde,pieve_verde,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,
