slug,name,commune_nom,old_lat,old_lon,new_lat,new_lon,distance_m,confiance,n_sources,sources_used,inter_max_m,osm_match,wikidata_match,ign_match,applied,pieve_declared,pieve_geocoded,pieve_concordant,doyenne_declared,doyenne_geocoded,doyenne_concordant,note
san_pietro_sorbollano,San Pietro (Sorbollano),Sorbollano,41.68,9.1,42.49213,9.35638,92750.1,MOYENNE,2,osm+ign,69.1,"42.49182,9.35640",,"42.49244,9.35636",,pieve_carbini,pieve_casacconi,False,doyenne_extreme_sud,doyenne_du_golo,False,DIST_OVER_5000m | RETRY_VARIANT:San Pietro
san_quilicu_ambiegna,San Quilicu (Ambiegna),Ambiegna,42.025,8.75,42.17754,8.78132,17157.4,FAIBLE,1,ign,0.0,,,"42.17754,8.78132",,pieve_cinarca,pieve_vico,False,doyenne_piana_vico_sari,doyenne_piana_vico_sari,True,DIST_OVER_5000m
san_quilicu_aullene,San Quilicu (Aullène),Aullène,41.74,9.05,42.51088,8.86760,87027.9,FAIBLE,1,ign,0.0,,,"42.51088,8.86760",,pieve_tallano,pieve_balagne,False,doyenne_extreme_sud,doyenne_balagne,False,DIST_OVER_5000m
san_quilicu_figari,San Quilicu (Figari),Figari,41.46,9.23,42.51088,8.86760,120630.3,FAIBLE,1,ign,0.0,,,"42.51088,8.86760",,pieve_freto,pieve_balagne,False,doyenne_extreme_sud,doyenne_balagne,False,DIST_OVER_5000m
san_quilicu_lecci,San Quilicu (Lecci),Lecci,41.5,9.26,41.87105,8.82332,54929.2,FAIBLE,1,ign,0.0,,,"41.87105,8.82332",,pieve_carbini,pieve_ornano,False,doyenne_extreme_sud,doyenne_prunelli_taravo_valinco,False,DIST_OVER_5000m
san_raineru_vico_haute,San Raineru (Vico (haute)),Vico,42.125,8.775,42.35635,8.84017,26278.1,FAIBLE,2,osm+ign,42566.6,"42.54556,8.87928",,"42.16714,8.80106",,pieve_vico,pieve_filosorma,False,doyenne_piana_vico_sari,doyenne_balagne,False,DIST_OVER_5000m | RETRY_VARIANT:San Raineru)
sant_andrea_belvedere_campomoro_haute,Sant'Andrea (Belvédère-Campomoro haute),Belvédère-Campomoro,41.74,8.978,41.62880,8.81742,18185.6,FAIBLE,1,ign,0.0,,,"41.62880,8.81742",,pieve_sartene,pieve_sartene,True,doyenne_extreme_sud,doyenne_extreme_sud,True,DIST_OVER_5000m
sant_appiano_cathedrale_de_sagone_sagone_vico,Sant'Appiano (cathédrale de Sagone) (Sagone (Vico)),Vico,42.118,8.686,42.12043,8.68600,270.6,FAIBLE,1,ign,0.0,,,"42.12043,8.68600",True,pieve_vico,pieve_vico,True,doyenne_piana_vico_sari,doyenne_piana_vico_sari,True,
santa_giulia_porto_vecchio,Santa Giulia (Porto-Vecchio),Porto-Vecchio,41.512,9.28,41.53357,9.27501,2434.2,FAIBLE,2,osm+ign,762.2,"41.53383,9.27958",,"41.53331,9.27045",,pieve_carbini,pieve_carbini,True,doyenne_extreme_sud,doyenne_extreme_sud,True,
santa_lucia_sainte_lucie_de_tallano_basse,Santa Lucia (Sainte-Lucie-de-Tallano basse),Sainte-Lucie-de-Tallano,41.605,8.988,41.69954,9.06555,12329.9,FAIBLE,1,ign,0.0,,,"41.69954,9.06555",,pieve_tallano,pieve_tallano,True,doyenne_extreme_sud,doyenne_extreme_sud,True,DIST_OVER_5000m
