slug,name,commune_nom,old_lat,old_lon,new_lat,new_lon,distance_m,confiance,n_sources,sources_used,inter_max_m,osm_match,wikidata_match,ign_match,applied,pieve_declared,pieve_geocoded,pieve_concordant,doyenne_declared,doyenne_geocoded,doyenne_concordant,note
santa_maria_santa_maria_di_lota,Santa Maria (Santa-Maria-di-Lota),Santa-Maria-di-Lota,42.74,9.44,42.74544,9.44328,661.2,FAIBLE,2,osm+ign,3030.1,"42.74386,9.46171",,"42.74701,9.42485",True,pieve_brando,pieve_brando,True,doyenne_du_cap,doyenne_du_cap,True,
santa_maria_tralonca,Santa Maria (Tralonca),Tralonca,42.448,9.162,42.44558,8.96808,15913.6,FAIBLE,2,osm+ign,41143.6,"42.33387,9.16793",,"42.55730,8.76823",,pieve_talcini,pieve_caccia,False,doyenne_cortenais,doyenne_cortenais,True,DIST_OVER_5000m
santa_maria_venaco_rescamone,Santa Maria (Venaco (Rescamone)),Venaco,42.219,9.152,42.48106,9.46213,38712.7,FAIBLE,1,ign,0.0,,,"42.48106,9.46213",,pieve_venaco,pieve_casinca,False,doyenne_cortenais,doyenne_du_golo,False,DIST_OVER_5000m
santa_mariona_talcini_bustanico,Santa Mariona (Talcini (Bustanico)),Bustanico,42.355,9.246,42.32081,9.29932,5802.2,FAIBLE,1,ign,0.0,,,"42.32081,9.29932",,pieve_rogna,,?,doyenne_cortenais,doyenne_cortenais,True,DIST_OVER_5000m
santa_reparata_barbaggio,Santa Reparata (Barbaggio),Barbaggio,42.655,9.165,42.62077,8.93354,19312.4,FAIBLE,1,ign,0.0,,,"42.62077,8.93354",,pieve_nebbiu,pieve_balagne,False,doyenne_du_cap,doyenne_balagne,False,DIST_OVER_5000m
santa_reparata_morosaglia,Santa Reparata (Morosaglia),Morosaglia,42.42,9.2,42.39682,9.37737,14789.1,FAIBLE,2,osm+ign,15263.9,"42.43729,9.30231",,"42.35634,9.45244",,pieve_rostino,pieve_orezza,False,doyenne_cortenais,doyenne_du_golo,False,DIST_OVER_5000m
santa_restituda_meria_vico_interieur,Santa Restituda (Meria (Vico intérieur)),Meria,42.185,8.875,,,,ABSENT,0,,0.0,,,,,pieve_luri,,,doyenne_du_cap,,,
santa_restitude_corte_niolu_versant,Santa Restitude (Corte (Niolu versant)),Corte,42.318,8.982,,,,ABSENT,0,,0.0,,,,,pieve_talcini,,,doyenne_cortenais,,,
tour_d_erbalunga_brando,Tour d'Erbalunga (Brando),Brando,42.627,9.497,42.77432,9.47518,16478.2,MOYENNE,2,osm+ign,337.7,"42.77360,9.47699",,"42.77504,9.47336",,pieve_brando,pieve_brando,True,doyenne_du_cap,doyenne_du_cap,True,DIST_OVER_5000m
tour_de_la_chiappella_rogliano,Tour de la Chiappella (Rogliano),Rogliano,42.983,9.463,42.95489,9.41842,4787.8,FAIBLE,1,ign,0.0,,,"42.95489,9.41842",,pieve_rogliano,pieve_rogliano,True,doyenne_du_cap,doyenne_du_cap,True,
tour_de_seneque_pino_luri,Tour de Sénèque (Pino/Luri),Pino,42.888,9.36,42.90639,9.36360,2065.3,FAIBLE,2,osm+ign,1491.0,"42.90513,9.37260",,"42.90764,9.35461",,pieve_luri,pieve_luri,True,doyenne_du_cap,doyenne_du_cap,True,
