slug,name,lat,lon,doyenne_declared,doyenne_real_geo,doyenne_mismatch,pieve_declared,pieve_real_geo,pieve_mismatch,in_corse_bbox,axe_corpus,note
santa_lucia_serra_di_ferro,Santa Lucia (Serra-di-Ferro),41.76,8.98,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,FALSE,pieve_istria,pieve_istria,FALSE,TRUE,edifices_romans,
santa_maria_afa,Santa Maria (Afa),41.94,8.77,doyenne_ajaccio,doyenne_ajaccio,FALSE,pieve_mezzana,pieve_ajaccio,TRUE,TRUE,edifices_romans,
santa_maria_aleria,Santa Maria (Aléria),42.105,9.513,doyenne_plaine_orientale,doyenne_plaine_orientale,FALSE,pieve_aleria,pieve_aleria,FALSE,TRUE,edifices_romans,
santa_maria_arbellara,Santa Maria (Arbellara),41.735,8.85,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,FALSE,pieve_sartene,pieve_istria,TRUE,TRUE,edifices_romans,
santa_maria_arbori,Santa Maria (Arbori),42.09,8.78,doyenne_piana_vico_sari,doyenne_piana_vico_sari,FALSE,pieve_vico,pieve_cinarca,TRUE,TRUE,edifices_romans,
santa_maria_assunta_ajaccio_bazzicacce,Santa Maria Assunta (Ajaccio-Bazzicacce),41.908,8.718,doyenne_ajaccio,,FALSE,pieve_ajaccio,,FALSE,TRUE,edifices_romans,doyenne_geo_NONE; pieve_geo_NONE
santa_maria_assunta_bastia_bastia,Santa Maria Assunta (Bastia),42.696,9.45,doyenne_du_cap,doyenne_du_cap,FALSE,pieve_bastia,pieve_bastia,FALSE,TRUE,edifices_romans,
santa_maria_assunta_campodonico,Santa Maria Assunta (Campodonico),42.295,9.35,doyenne_prunelli_taravo_valinco,doyenne_plaine_orientale,TRUE,pieve_ornano,pieve_bozio,TRUE,TRUE,edifices_romans,
santa_maria_assunta_canari,Santa Maria Assunta (Canari),42.873,9.348,doyenne_du_cap,doyenne_du_cap,FALSE,pieve_canari,pieve_canari,FALSE,TRUE,edifices_romans,
santa_maria_assunta_meria_interieur,Santa Maria Assunta (Meria intérieur),42.838,9.404,doyenne_du_cap,doyenne_du_cap,FALSE,pieve_luri,pieve_brando,TRUE,TRUE,edifices_romans,
santa_maria_assunta_ogliastro,Santa Maria Assunta (Ogliastro),42.87,9.38,doyenne_du_cap,doyenne_du_cap,FALSE,pieve_canari,pieve_canari,FALSE,TRUE,edifices_romans,
santa_maria_aullene_village,Santa Maria (Aullène village),41.712,9.078,doyenne_extreme_sud,doyenne_extreme_sud,FALSE,pieve_tallano,pieve_tallano,FALSE,TRUE,edifices_romans,
santa_maria_bocognano_haute,Santa Maria (Bocognano haute),42.22,9.04,doyenne_ajaccio,doyenne_cortenais,TRUE,pieve_celavo,pieve_talcini,TRUE,TRUE,edifices_romans,
santa_maria_bonifacio_haute_ville,Santa Maria (Bonifacio haute ville),41.42,9.16,doyenne_extreme_sud,doyenne_extreme_sud,FALSE,pieve_bonifacio,pieve_bonifacio,FALSE,TRUE,edifices_romans,
santa_maria_brando,Santa Maria (Brando),42.85,9.37,doyenne_du_cap,doyenne_du_cap,FALSE,pieve_brando,pieve_canari,TRUE,TRUE,edifices_romans,
santa_maria_calacuccia,Santa Maria (Calacuccia),42.34,9.0,doyenne_cortenais,doyenne_cortenais,FALSE,pieve_niolu,pieve_niolu,FALSE,TRUE,edifices_romans,
santa_maria_calacuccia_village,Santa Maria (Calacuccia village),42.46,8.93,doyenne_cortenais,doyenne_balagne,TRUE,pieve_niolu,pieve_balagne,TRUE,TRUE,edifices_romans,
santa_maria_campile,Santa Maria (Campile),42.4,9.405,doyenne_du_golo,doyenne_du_golo,FALSE,pieve_casacconi,,FALSE,TRUE,edifices_romans,pieve_geo_NONE
santa_maria_carpineto,Santa Maria (Carpineto),42.33,9.3,doyenne_du_golo,doyenne_cortenais,TRUE,pieve_orezza,,FALSE,TRUE,edifices_romans,pieve_geo_NONE
santa_maria_castirla,Santa Maria (Castirla),42.49,9.1,doyenne_cortenais,doyenne_cortenais,FALSE,pieve_talcini,pieve_caccia,TRUE,TRUE,edifices_romans,
santa_maria_cateri,Santa Maria (Cateri),42.55,8.91,doyenne_balagne,doyenne_balagne,FALSE,pieve_balagne,pieve_balagne,FALSE,TRUE,edifices_romans,
santa_maria_cervione_interieur,Santa Maria (Cervione intérieur),42.158,9.416,doyenne_plaine_orientale,doyenne_plaine_orientale,FALSE,pieve_campoloro,pieve_rogna,TRUE,TRUE,edifices_romans,
santa_maria_chiatra,Santa Maria (Chiatra),42.23,9.43,doyenne_plaine_orientale,doyenne_plaine_orientale,FALSE,pieve_alesani,pieve_rogna,TRUE,TRUE,edifices_romans,
santa_maria_cozzano_ghisoni,Santa Maria (Cozzano-Ghisoni),42.035,9.31,doyenne_prunelli_taravo_valinco,doyenne_plaine_orientale,TRUE,pieve_verde,pieve_fiumorbo,TRUE,TRUE,edifices_romans,
santa_maria_de_la_rescamone_vescovato,Santa Maria de la Rescamone (Vescovato),42.445,9.428,doyenne_du_golo,doyenne_du_golo,FALSE,pieve_casinca,pieve_ampugnani,TRUE,TRUE,edifices_romans,
santa_maria_della_chiappella_rogliano,Santa Maria della Chiappella (Rogliano),42.968,9.41,doyenne_du_cap,doyenne_du_cap,FALSE,pieve_rogliano,pieve_rogliano,FALSE,TRUE,edifices_romans,
santa_maria_della_neve_grosseto_prugna_basse,Santa Maria della Neve (Grosseto-Prugna basse),41.905,8.798,doyenne_prunelli_taravo_valinco,,FALSE,pieve_ornano,pieve_ornano,FALSE,TRUE,edifices_romans,doyenne_geo_NONE
santa_maria_di_e_grazie_sagone_littoral,Santa Maria di e Grazie (Sagone littoral),42.118,8.68,,doyenne_piana_vico_sari,FALSE,,pieve_vico,FALSE,TRUE,edifices_romans,
santa_maria_erbajolo,Santa Maria (Erbajolo),42.27,9.21,doyenne_cortenais,doyenne_cortenais,FALSE,pieve_giovellina,pieve_venaco,TRUE,TRUE,edifices_romans,
santa_maria_farinole,Santa Maria (Farinole),42.82,9.36,doyenne_du_cap,doyenne_du_cap,FALSE,pieve_nebbiu,pieve_canari,TRUE,TRUE,edifices_romans,
santa_maria_favone,Santa Maria (Favone),41.87,9.28,,doyenne_plaine_orientale,FALSE,,pieve_verde,FALSE,TRUE,edifices_romans,
santa_maria_figaniella_figaniella_sollacaro,Santa Maria Figaniella (Figaniella (Sollacaro)),41.699,8.931,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,FALSE,pieve_istria,pieve_istria,FALSE,TRUE,edifices_romans,
santa_maria_figari_village,Santa Maria (Figari village),41.488,9.108,doyenne_extreme_sud,doyenne_extreme_sud,FALSE,pieve_freto,pieve_freto,FALSE,TRUE,edifices_romans,
santa_maria_folelli,Santa Maria (Folelli),42.535,9.5,,doyenne_du_golo,FALSE,,pieve_casinca,FALSE,TRUE,edifices_romans,
santa_maria_francardo_omessa,Santa Maria (Francardo (Omessa)),42.46,9.14,doyenne_cortenais,doyenne_cortenais,FALSE,pieve_talcini,pieve_caccia,TRUE,TRUE,edifices_romans,
santa_maria_ghisonaccia_plaine,Santa Maria (Ghisonaccia plaine),42.06,9.43,doyenne_plaine_orientale,doyenne_plaine_orientale,FALSE,pieve_aleria,pieve_aleria,FALSE,TRUE,edifices_romans,
santa_maria_ghisoni_village,Santa Maria (Ghisoni village),42.01,9.35,doyenne_plaine_orientale,doyenne_plaine_orientale,FALSE,pieve_ghisoni,pieve_fiumorbo,TRUE,TRUE,edifices_romans,
santa_maria_giocatojo,Santa Maria (Giocatojo),42.368,9.42,doyenne_du_golo,doyenne_du_golo,FALSE,pieve_ampugnani,pieve_orezza,TRUE,TRUE,edifices_romans,
santa_maria_grossa,Santa Maria (Grossa),41.58,8.94,doyenne_extreme_sud,doyenne_extreme_sud,FALSE,pieve_sartene,pieve_sartene,FALSE,TRUE,edifices_romans,
santa_maria_guagno,Santa Maria (Guagno),42.08,8.86,doyenne_piana_vico_sari,doyenne_piana_vico_sari,FALSE,pieve_sorroinsu,pieve_cinarca,TRUE,TRUE,edifices_romans,
santa_maria_linguizzetta_basse,Santa Maria (Linguizzetta basse),42.085,9.47,doyenne_plaine_orientale,doyenne_plaine_orientale,FALSE,pieve_campoloro,pieve_aleria,TRUE,TRUE,edifices_romans,
santa_maria_lopigna,Santa Maria (Lopigna),42.06,8.8,doyenne_piana_vico_sari,doyenne_piana_vico_sari,FALSE,pieve_cinarca,pieve_cinarca,FALSE,TRUE,edifices_romans,
santa_maria_loreto_di_casinca,Santa Maria (Loreto-di-Casinca),42.43,9.35,doyenne_du_golo,doyenne_du_golo,FALSE,pieve_casinca,pieve_ampugnani,TRUE,TRUE,edifices_romans,
santa_maria_lucciana_interieur,Santa Maria (Lucciana intérieur),42.5,9.43,doyenne_du_golo,doyenne_du_golo,FALSE,pieve_mariana,pieve_casacconi,TRUE,TRUE,edifices_romans,
santa_maria_maggiore_bonifacio_vieille_ville,Santa Maria Maggiore (Bonifacio vieille ville),41.387,9.16,doyenne_extreme_sud,doyenne_extreme_sud,FALSE,pieve_bonifacio,pieve_bonifacio,FALSE,TRUE,edifices_romans,
