Type ouvrage;Code ligne 1;Nom ligne 1;Etat;TENSION;Source donnée;Nombre circuit;Code ligne 2;Nom ligne 2;Code ligne 3;Nom ligne 3;Code ligne 4;Nom ligne 4;Code ligne 5;Nom ligne 5
AERIEN;CHESNL35RENAR;LIAISON 63kV N0 5 CHESNOY (LE) - RENARDIERES (LES);EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;CHAINL41SAUS6;LIAISON 90kV N0 1 CHAINGY-SAUSSAYE;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;CPVANL31MESNA;LIAISON 63kV N0 1 CHAMPVANS-MESNAY;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;ETIVAL31V.PRE;LIAISON 63kV N0 1 ETIVAL-VIEUX-PRE;EN EXPLOITATION;63kV;RTE;2;ETIVAL31V.PRE;LIAISON 63kV N0 1 ETIVAL-VIEUX-PRE;;;;;;
AERIEN;BLOTTL31ZBLOT;LIAISON 63kV N0 1 CARQUEFOU - LION D OR - BLOTTEREAU;EN EXPLOITATION;63kV;RTE;1;BLOTTL31SSJOS;LIAISON 63kV N0 1 BLOTTEREAU-ST-JOSEPH;;;;;;
AERIEN;CALYPL21SAUS2;LIAISON 45kV N0 1 CALYPSO-SAUSSAZ II (LA);EN EXPLOITATION;45kV;RTE;1;;;;;;;;
AERIEN;GAEL L42MTFO5;LIAISON 90kV N0 2 GAEL-MONTFORT;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;REALTL71TAVEL;LIAISON 400kV N0 1 REALTOR - TAVEL;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;REALTL71TAVEL;LIAISON 400kV N0 1 REALTOR - TAVEL;EN EXPLOITATION;400kV;RTE;2;REALTL72TAVEL;LIAISON 400kV N0 2 REALTOR - TAVEL;;;;;;
AERIEN;PERTAL61ZC.OM;LIAISON 225kV N0 1 LATENA - PERTAIN - CRESSY-OMENCOURT;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;ARGIEL31ZSEV5;LIAISON 63kV N0 1 ARGIESANS-DELLE-SEVENANS;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;LOUP L31P.GR5;LIAISON 63kV N0 1 LOUP (LE)-PLAN-DE-GRASSE;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;LAUNAL41SSBR6;LIAISON 90kV N0 1 LAUNAY-ST-BRICE-EN-COGLES;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;CONRAL31SSJOS;LIAISON 63kV N0 1 CONRAIE (LA) - ST-JOSEPH;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;KIR  L31PERRI;LIAISON 63kV N0 1 KIR - PERRIGNY;EN EXPLOITATION;63kV;RTE;2;KIR  L31VELAR;LIAISON 63kV N0 1 KIR - VELARS;;;;;;
AERIEN;KIR  L31VELAR;LIAISON 63kV N0 1 KIR - VELARS;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;MARL6L61REICH;LIAISON 225kV N0 1 MARLENHEIM-REICHSTETT;EN EXPLOITATION;225kV;RTE;2;MARL6L62REICH;LIAISON 225kV N0 2 MARLENHEIM-REICHSTETT;;;;;;
AERIEN;BENETL41NIORT;LIAISON 90kV N0 1 BENET-NIORT;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;FLEACL41RABIO;LIAISON 90kV N0 1 FLEAC-RABION;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;ARIETL31BISSY;LIAISON 63kV N0 1 ARIETAZ-BISSY;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;GOURJL61VERFE;LIAISON 225kV N0 1 GOURJADE - VERFEIL;EN EXPLOITATION;225kV;RTE;2;GOURJL61ZMIOL;LIAISON 225kV N0 1 GOURJADE - MIOLLES - ST-VICTOR;;;;;;
AERIEN;LARDIL31TOULU;LIAISON 63kV N0 1 LARDIT-TOULUCH;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;C.SEIL61ZC.SE;LIAISON 225kV N0 1 CHATILLON-SUR-SEINE - DARCEY - ROSIERES;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;O.CHAL31PRAD5;LIAISON 63kV N0 1 ONET-LE-CHATEAU-PRADE (LA);EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;MOINGL31ZS.CO;LIAISON 63kV N0 1 MOINGT-ST-JUST (-SUR-LOIRE)-SURY-LE-COMTAL;EN EXPLOITATION;63kV;RTE;2;SSJUSL31ZS.CO;LIAISON 63kV N0 1 MOINGT-ST-JUST (-SUR-LOIRE)-SURY-LE-COMTAL;;;;;;
AERIEN;MEZELL31SARR5;LIAISON 63kV N0 1 MEZEL-SARRE;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;C.FO6L31GENAY;LIAISON 63kV N0 1 CAILLOUX-SUR-FONTAINE-GENAY;EN EXPLOITATION;63kV;RTE;2;C.FO6L31QUINC;LIAISON 63kV N0 1 CAILLOUX-SUR-FONTAINE-QUINCIEUX;;;;;;
AERIEN;CZTRYL61PLISO;LIAISON 225kV N0 1 COURTRY-PLISON;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;PORCHL31ZLIMA;LIAISON 63kV N0 1 PORCHEVILLE - PUISEUX - DER LIMAY;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;BXRE6L61CHAIN;LIAISON 225kV N0 1 BEAUREGARD(SAINT-LAURENT-NOUAN)-CHAINGY;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;BREAUL61PRELE;LIAISON 225kV N0 1 BREAU - PRELES (LES);EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;DAMBRL62G.DEN;LIAISON 225kV N0 2 DAMBRON-GAULT-SAINT-DENIS;EN EXPLOITATION;225kV;RTE;2;DAMBRL62ZESPI;LIAISON 225kV N0 2 CHAUNAY - DAMBRON - ESPIERS (LES);;;;;;
AERIEN;PTCHAL31SEVE5;LIAISON 63kV N0 1 PONTCHATEAU-SEVERAC;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;CHAN5L41PELOU;LIAISON 90kV N0 1 CHANCEAUX-PELOUSE (LA);EN EXPLOITATION;90kV;RTE;2;CHAN5L44PELOU;RES. LIAISON 90kV N0 4  CHANCEAUX - PELOUSE (LA);;;;;;
AERIEN;F.COML41FAYMO;LIAISON 90kV N0 1 FAYMOREAU-FONTENAY-LE-COMTE;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
