statut;geo_point_2d;geo_shape
En exploitation;42.6272767669496, 9.433194423795538;"{""coordinates"": [[9.4333532, 42.6271811], [9.4332449, 42.6273211], [9.4330312, 42.6272711], [9.433013, 42.6272954], [9.43301, 42.6272994]], ""type"": ""LineString""}"
En exploitation;42.55965800662515, 9.441076949813487;"{""coordinates"": [[9.4410283, 42.5597977], [9.4410333, 42.5597953], [9.4410824, 42.5597733], [9.4410934, 42.5595468], [9.4410562, 42.55954], [9.4410378, 42.5595645], [9.4410349, 42.5595685]], ""type"": ""LineString""}"
En exploitation;42.62738779923715, 9.4323210998931;"{""coordinates"": [[9.4324631, 42.6273148], [9.4323393, 42.6273712], [9.4322583, 42.6274124], [9.4322137, 42.6274512], [9.4322279, 42.6274821], [9.432229, 42.6274844], [9.4322299, 42.6274863]], ""type"": ""LineString""}"
En exploitation;42.55938405058954, 9.44035284702848;"{""coordinates"": [[9.4403268, 42.559473], [9.4403495, 42.5594573], [9.4403653, 42.559317], [9.4403338, 42.5593113], [9.4403279, 42.5593103]], ""type"": ""LineString""}"
En exploitation;42.626030924754346, 9.431253144156898;"{""coordinates"": [[9.4313529, 42.6261233], [9.4313351, 42.6260565], [9.4311175, 42.6259705]], ""type"": ""LineString""}"
En exploitation;42.559050193397084, 9.440619570142546;"{""coordinates"": [[9.4405432, 42.5590187], [9.4406504, 42.5590285], [9.4406373, 42.5591286]], ""type"": ""LineString""}"
En exploitation;42.626353357461184, 9.430430029292415;"{""coordinates"": [[9.4305769, 42.6263831], [9.4305344, 42.6263315], [9.4303166, 42.6263539], [9.430312, 42.6264131], [9.4303116, 42.6264176]], ""type"": ""LineString""}"
En exploitation;42.55995680358504, 9.44107287920769;"{""coordinates"": [[9.4410286, 42.5598112], [9.4410895, 42.559836], [9.4410623, 42.5601358]], ""type"": ""LineString""}"
En exploitation;42.626221137755095, 9.430241735992666;"{""coordinates"": [[9.4304432, 42.6260661], [9.4304362, 42.6261118], [9.4302175, 42.6262336], [9.4300465, 42.6263435], [9.4300148, 42.6263378], [9.4300144, 42.6263378], [9.430009, 42.6263368]], ""type"": ""LineString""}"
En exploitation;42.560064879371254, 9.440628860508584;"{""coordinates"": [[9.4407386, 42.5600835], [9.4407244, 42.5600663], [9.4405405, 42.5600596], [9.4405221, 42.5600756], [9.4405201, 42.5600773], [9.4405181, 42.560079]], ""type"": ""LineString""}"
En exploitation;42.62662866960732, 9.429842838257546;"{""coordinates"": [[9.429683, 42.6265917], [9.4296875, 42.6265946], [9.4297356, 42.6266246], [9.4298227, 42.6266373], [9.4299552, 42.6266201], [9.4299833, 42.6266683], [9.4299838, 42.6266693], [9.4299856, 42.6266725]], ""type"": ""LineString""}"
