Code poste;Nom poste;FONCTION;Etat;Tension (kV);departement
ARLY;ARLY;Poste de transformation;EN EXPLOITATION;63kV;Haute-Savoie
ZMOU7;MOUTI / CONTA VNOTA 1;Point de piquage;EN EXPLOITATION;63kV;Savoie
ZHESD;HESDI / FREVE SORRU 1;Point de piquage;EN EXPLOITATION;90kV;Pas-de-Calais
ZKERS;PIQUAGE A KERSULEC;Point de piquage;EN EXPLOITATION;63kV;Finistère
ZLA10;PIQUAGE LANTON (LIAISON LEGE Z31MASQU);Point de piquage;EN EXPLOITATION;63kV;Gironde
AVELI;AVELIN;Poste de transformation;EN EXPLOITATION;400kV;Nord
LINXE;LINXE;Poste de transformation;EN EXPLOITATION;63kV;Landes
GRAMO;GRAMONT;Poste de transformation;EN EXPLOITATION;225kV;Haute-Garonne
AVEZE;AVEZE;Poste de transformation;EN EXPLOITATION;63kV;Gard
AVREU;AVREUIL;Poste de transformation;EN EXPLOITATION;63kV;Aube
AUMON;AUMONE (L );Poste de transformation;EN EXPLOITATION;63kV;Haute-Savoie
B.ARC;BOURBON-L ARCHAMBAULT;Poste de transformation;EN EXPLOITATION;63kV;Allier
ZGUIS;PIQUAGE A LE GUISLAIN;Point de piquage;EN EXPLOITATION;90kV;Manche
MTRI5;MONTRICHARD;Poste de transformation;EN EXPLOITATION;90kV;Indre-et-Loire
MONDO;MONDOUBLEAU;Poste de transformation;EN EXPLOITATION;90kV;Loir-et-Cher
SEIGY;SEIGY;Poste de transformation;EN EXPLOITATION;90kV;Loir-et-Cher
TERTR;TERTRE;Poste de transformation;EN EXPLOITATION;90kV;Loir-et-Cher
DOGNE;DOGNEVILLE;Poste de transformation;EN EXPLOITATION;63kV;Vosges
SSREN;ST-RENAN;Poste de transformation;EN EXPLOITATION;63kV;Finistère
SSV.O;ST-VULBAS-OUEST;Poste de transformation;EN EXPLOITATION;400kV;Ain
SELTZ;SELTZ;Poste de transformation;EN EXPLOITATION;225kV;Bas-Rhin
SENNE;SENNECEY;Poste de transformation;EN EXPLOITATION;63kV;Saône-et-Loire
ZGAN5;PIQUAGE GANDRANGE;Point de piquage;EN EXPLOITATION;225kV;Moselle
ZGEN5;PIQUAGE A GENET;Point de piquage;EN EXPLOITATION;90kV;Maine-et-Loire
ZGYSS;PIQUAGE GYSSERIE;Point de piquage;EN EXPLOITATION;63kV;Jura
DOMEN;DOMENE;Poste de transformation;EN EXPLOITATION;63kV;Isère
ZJ.TO;J.TOU / LARCA SSCO7 1;Point de piquage;EN EXPLOITATION;90kV;Indre-et-Loire
ASTIL;ASTILLE;Poste de transformation;EN EXPLOITATION;90kV;Mayenne
ROESC;ROESCHWOOG;Poste de transformation;EN EXPLOITATION;63kV;Bas-Rhin
BARAG;BARAGARRY;Poste de transformation;EN EXPLOITATION;63kV;Pyrénées-Atlantiques
ASTON;ASTON;Poste de transformation;EN EXPLOITATION;225kV;Ariège
BELON;BELONIERE (LA);Poste de transformation;EN EXPLOITATION;90kV;Indre-et-Loire
ROUVE;ROUVERADE;Poste de transformation;EN EXPLOITATION;90kV;Corrèze
SEVE5;SEVERAC;Poste de transformation;EN EXPLOITATION;63kV;Morbihan
SEVRE;SEVRES;Poste de transformation;EN EXPLOITATION;225kV;Paris
AUBES;AUBES (LES);Poste de transformation;EN EXPLOITATION;63kV;Bouches-du-Rhône
HELLE;HELLEMMES;Poste de transformation;EN EXPLOITATION;225kV;Nord
SSBO5;ST-JEAN-DE-BOURNAY;Poste de transformation;EN EXPLOITATION;63kV;Isère
SSCO5;ST-GENIES-DE-COMOLAS;Poste de transformation;EN EXPLOITATION;63kV;Gard
HOERD;HOERDT;Poste de transformation;EN EXPLOITATION;63kV;Bas-Rhin
AVOIN;AVOINE;Poste de transformation;EN EXPLOITATION;225kV;Indre-et-Loire
ZMERO;MERON / DISTR THOUA 1;Point de piquage;EN EXPLOITATION;90kV;Maine-et-Loire
ZMTFE;MTFER / ANCIZ QUEUI 1;Point de piquage;EN EXPLOITATION;63kV;Puy-de-Dôme
BOOS;BOOS;Poste de transformation;EN EXPLOITATION;90kV;Seine-Maritime
B.BAI;BAINS-LES-BAINS;Poste de transformation;EN EXPLOITATION;63kV;Vosges
ZP.TR;PIQUAGE PONT TRINQUAT (LIAISON MTPELZ61SSCHR);Point de piquage;EN EXPLOITATION;225kV;Hérault
SSAMA;SAINT-AMAND-MONTROND;Poste de transformation;EN EXPLOITATION;90kV;Cher
BOSCH;BOSCHERVILLE;Poste de transformation;EN EXPLOITATION;225kV;Eure
ZSAB6;PIQUAGE A SABATOUSE;Point de piquage;EN EXPLOITATION;63kV;Haute-Garonne
FLAMA;FLAMANVILLE;Poste de transformation;EN EXPLOITATION;400kV;
FIRMI;FIRMINELLES;Poste de transformation;EN EXPLOITATION;63kV;Gard
ZLONG;PIQUAGE A RIVECOURT;Point de piquage;EN EXPLOITATION;63kV;Oise
ZRIC6;PIQUAGE RICHEBOURG A RICHEBOURG (ZRIC6);Point de piquage;EN EXPLOITATION;225kV;Eure-et-Loir
ZRICH;V.BRE / LARCA VALL5 1;Point de piquage;EN EXPLOITATION;90kV;Indre-et-Loire
HEINL;HEINLEX;Poste de transformation;EN EXPLOITATION;63kV;Loire-Atlantique
SSCYR;ST-CYR-SUR-MER;Poste de transformation;EN EXPLOITATION;63kV;Bouches-du-Rhône
JOUSS;JOUSSEAU;Poste de transformation;EN EXPLOITATION;90kV;Vienne
JUNIA;JUNIAT;Poste de transformation;EN EXPLOITATION;90kV;Haute-Vienne
AMPE5;AMPERE (VILLEFRANCHE-SUR-SAONE);Poste de transformation;EN EXPLOITATION;63kV;Rhône
AMPE7;AMPEREVIELLE;Poste de transformation;EN EXPLOITATION;63kV;Hautes-Pyrénées
TAUPI;TAUPINIERES (LES);Poste de transformation;EN EXPLOITATION;90kV;Marne
G.POR;GRAND-PORT;Poste de transformation;EN EXPLOITATION;225kV;Nord
F.GAL;FONTAINE-GALUCHE;Poste de transformation;EN EXPLOITATION;90kV;Marne
JARNA;JARNAC;Poste de transformation;EN EXPLOITATION;90kV;Charente
BOUI5;BOUILLENS;Poste de transformation;EN EXPLOITATION;63kV;Gard
BRIO6;BRIOUX-SUR-BOUTONNE;Poste de transformation;EN EXPLOITATION;225kV;Deux-Sèvres
1SSGO;ST-GOBAIN /GRAND-QUEVILLY;Poste de transformation;EN EXPLOITATION;<45kV;Seine-Maritime
ZC.CH;PIQUAGE A LA CONDAMINE;Point de piquage;EN EXPLOITATION;63kV;Alpes-de-Haute-Provence
ZMEES;PIQUAGE AUX MEES;Point de piquage;EN EXPLOITATION;225kV;Alpes-de-Haute-Provence
ZPEN5;PIQUAGE 2 AUX PENNES;Point de piquage;EN EXPLOITATION;63kV;Bouches-du-Rhône
ZT.SU;PIQUAGE A TORE SUPRA;Point de piquage;EN EXPLOITATION;400kV;Vaucluse
JAZEN;JAZENEUIL;Poste de transformation;EN EXPLOITATION;90kV;Deux-Sèvres
ZMAME;MAMER / COMM7 ZG.MO 1;Point de piquage;EN EXPLOITATION;90kV;Sarthe
OLLI5;OLLIERES;Poste de transformation;EN EXPLOITATION;225kV;Var
H.BOU;HORNOY-LE-BOURG;Poste de transformation;EN EXPLOITATION;225kV;Somme
QUEBE;QUEBEC;Poste de transformation;ACCORD ADMINISTRATIF;225kV;Essonne
G.OUC;GRANDE-OUCHE;Poste de transformation;EN EXPLOITATION;90kV;Maine-et-Loire
ZVICL;VICLA / BREVI MALGO 1;Point de piquage;EN EXPLOITATION;63kV;Savoie
ZTEMP;TEMP6 / SAUS2 SSMM5 1;Point de piquage;EN EXPLOITATION;45kV;Savoie
1LUZE;LUZENAC;Poste de transformation;EN EXPLOITATION;<45kV;Ariège
1ONER;ONERA /AVRIEUX 10KV;Poste de transformation;EN EXPLOITATION;<45kV;Savoie
TROUI;TROUILLAS;Poste de transformation;EN EXPLOITATION;63kV;Pyrénées-Orientales
USIN6;USINOR (SOLLAC A DUNKERQUE);Poste de transformation;EN EXPLOITATION;90kV;
ZPRAT;PRAT5 / MTLUC TEIL2 1;Point de piquage;EN EXPLOITATION;63kV;Allier
ZPROV;PIQUAGE PROVENCE A LES ULIS (ZPROV);Point de piquage;EN EXPLOITATION;90kV;Essonne
BRILL;BRILLANNE (LA);Poste de transformation;EN EXPLOITATION;63kV;Alpes-de-Haute-Provence
BXMET;BEAUMETTES (LES);Poste de transformation;EN EXPLOITATION;63kV;Vaucluse
BZSEU;BOURSEUL;Poste de transformation;EN EXPLOITATION;63kV;Côtes-d'Armor
ESSA5;ESSARTS;Poste de transformation;EN EXPLOITATION;90kV;Vendée
F.ALL;FOUX D ALLOS;Poste de transformation;EN EXPLOITATION;63kV;Alpes-de-Haute-Provence
CHAST;CHASTANG (LE);Poste de transformation;EN EXPLOITATION;225kV;Corrèze
BAUGE;BAUGE;Poste de transformation;EN EXPLOITATION;90kV;Maine-et-Loire
BERGH;BERGHOLZ;Poste de transformation;EN EXPLOITATION;225kV;Moselle
GAUVI;GAUVILLE;Poste de transformation;EN EXPLOITATION;225kV;Seine-Maritime
ISBE5;ISBERGUES (UGINE ACIERS) (225KV);Poste de transformation;EN EXPLOITATION;225kV;Pas-de-Calais
ZB.HA;PIQUAGE BASSE-HAM;Point de piquage;EN EXPLOITATION;225kV;Moselle
ZBRE6;PIQUAGE A BREVANS;Point de piquage;EN EXPLOITATION;63kV;Jura
ZBRUG;PIQUAGE BRUGALE (LIAISON L.CE1Z31LAVA2);Point de piquage;EN EXPLOITATION;63kV;Corrèze
ZBXRE;PIQUAGE BEAUREGARD (LIAISON BORIEZ41MTIGN);Point de piquage;EN EXPLOITATION;90kV;Corrèze
ZDUN;DUN / MAZIE ORCH5 1;Point de piquage;EN EXPLOITATION;90kV;Cher
JOINV;JOINVILLE;Poste de transformation;EN EXPLOITATION;63kV;Haute-Marne
JOUX;JOUX;Poste de transformation;EN EXPLOITATION;225kV;Rhône
ZF.MO;PIQUAGE FAUX-LA-MONTAGNE (LIAISON P.CHAZ41SSSET);Point de piquage;EN EXPLOITATION;90kV;Haute-Vienne
VAUGR;VAUGRIS (S.N.C.F.);Poste de transformation;EN EXPLOITATION;63kV;Rhône
TOURS;TOURS;Poste de transformation;EN EXPLOITATION;90kV;Indre-et-Loire
TRESC;TRESCLEOUX;Poste de transformation;EN EXPLOITATION;63kV;Hautes-Alpes
LANAU;LANAU;Poste de transformation;EN EXPLOITATION;225kV;Cantal
LAND5;LANDROFF;Poste de transformation;EN EXPLOITATION;63kV;Moselle
SSMIN;STE-MARIE-AUX-MINES;Poste de transformation;EN EXPLOITATION;63kV;Vosges
V.JUH;VILLAINES-LA-JUHEL;Poste de transformation;EN EXPLOITATION;90kV;Mayenne
TAILL;TAILLIS;Poste de transformation;EN EXPLOITATION;63kV;Seine-et-Marne
COLO5;COLOMIERS;Poste de transformation;EN EXPLOITATION;63kV;Haute-Garonne
RUMIN;RUMINGHEM;Poste de transformation;EN EXPLOITATION;225kV;Pas-de-Calais
SSYOR;ST-YORRE;Poste de transformation;EN EXPLOITATION;63kV;Allier
T.NO6;TERRES-NOIRES (RFF A VILLEFRANCHE SUR CHER );Poste de transformation;EN EXPLOITATION;225kV;Loir-et-Cher
1P.CL;PONT-DE-CLAIX /CHAMPAGNIE;Poste de transformation;EN EXPLOITATION;<45kV;Isère
KEROL;KEROLAY;Poste de transformation;EN EXPLOITATION;63kV;Morbihan
FORBA;FORBACH;Poste de transformation;EN EXPLOITATION;63kV;
ZCAM8;PIQUAGE CAMPAGNE (LIAISON MAUZAZ31SARLA);Point de piquage;EN EXPLOITATION;63kV;Dordogne
TAVEL;TAVEL;Poste de transformation;EN EXPLOITATION;400kV;Gard
ZCHAT;PIQUAGE CHATRE (LIAISON CTLUSZ41MAURE);Point de piquage;EN EXPLOITATION;90kV;Haute-Vienne
ZCOMT;COMTA / CARPE TRAVA 1;Point de piquage;EN EXPLOITATION;63kV;Vaucluse
BATZE;BATZENDORF;Poste de transformation;EN EXPLOITATION;225kV;Bas-Rhin
ZEST6;PIQUAGE A ESTANCARBON;Point de piquage;EN EXPLOITATION;63kV;Haute-Garonne
LANCE;LANCEY;Poste de transformation;EN EXPLOITATION;63kV;Isère
LANN7;LANNEMEZAN (S.N.C.F.);Poste de transformation;EN EXPLOITATION;63kV;Hautes-Pyrénées
LARRI;LARRIS (LES);Poste de transformation;EN EXPLOITATION;63kV;Seine-et-Marne
MAINV;MAINVILLIERS;Poste de transformation;EN EXPLOITATION;90kV;Eure-et-Loir
COMB7;COMBES(LES);Poste de transformation;EN EXPLOITATION;90kV;Charente
ORAN6;ORANGE;Poste de transformation;EN EXPLOITATION;63kV;Vaucluse
GAMPA;GAMPALOUP;Poste de transformation;EN EXPLOITATION;225kV;Isère
MARL8;MARLY;Poste de transformation;EN EXPLOITATION;63kV;Moselle
LAUZ5;LAUZE;Poste de transformation;EN EXPLOITATION;63kV;Isère
HOLQU;HOLQUE;Poste de transformation;EN EXPLOITATION;225kV;Pas-de-Calais
MACON;MACON;Poste de transformation;EN EXPLOITATION;225kV;Saône-et-Loire
RIGOT;RIGOTTE (LA);Poste de transformation;EN EXPLOITATION;225kV;Haute-Marne
ZSEMB;SEMBL / CHAN5 COUE5 1;Point de piquage;EN EXPLOITATION;90kV;Indre-et-Loire
ZSERV;PIQUAGE A ACIGNE (SERVON);Point de piquage;EN EXPLOITATION;90kV;Ille-et-Vilaine
ZTHIB;PIQUAGE A THIBAUDIERE;Point de piquage;EN EXPLOITATION;90kV;Vendée
PRODA;PRODAIR (BEAUVAIS);Poste de transformation;EN EXPLOITATION;63kV;Oise
BAZAN;BAZANCOURT;Poste de transformation;EN EXPLOITATION;63kV;Marne
LAURE;LAURE;Poste de transformation;EN EXPLOITATION;63kV;Bouches-du-Rhône
LAZAR;LAZARET (LE);Poste de transformation;EN EXPLOITATION;63kV;Gironde
LECER;LECERF;Poste de transformation;EN EXPLOITATION;90kV;Eure
G.PAR;GRANDE-PAROISSE;Poste de transformation;EN EXPLOITATION;63kV;Seine-et-Marne
GEDRE;GEDRE;Poste de transformation;EN EXPLOITATION;63kV;Hautes-Pyrénées
GOUR6;GOURDON (CLIENT);Poste de transformation;EN EXPLOITATION;63kV;Lot
P.CL5;PONT DE CLAIX;Poste de transformation;EN EXPLOITATION;63kV;Isère
MAROU;MAROUE;Poste de transformation;EN EXPLOITATION;63kV;Côtes-d'Armor
LOCHE;LOCHES;Poste de transformation;EN EXPLOITATION;90kV;Indre-et-Loire
MIZOE;MIZOEN;Poste de transformation;EN EXPLOITATION;63kV;Isère
SAULE;SAULES;Poste de transformation;EN EXPLOITATION;225kV;Yvelines
RABAT;RABATAU;Poste de transformation;EN EXPLOITATION;225kV;
TUPIG;TUPIGNY;Poste de transformation;EN EXPLOITATION;63kV;Aisne
MOLLE;MOLLEPIERRE;Poste de transformation;EN EXPLOITATION;63kV;Côte-d'Or
M.JUL;MOTTE-JULIENNE (LA);Poste de transformation;EN EXPLOITATION;90kV;Nord
REALT;REALTOR;Poste de transformation;EN EXPLOITATION;400kV;Bouches-du-Rhône
ZVAL1;PIQUAGE A VALIN;Point de piquage;EN EXPLOITATION;63kV;Bouches-du-Rhône
THORI;THORIGNE;Poste de transformation;EN EXPLOITATION;90kV;Maine-et-Loire
DUVIG;DUVIGNEAU;Poste de transformation;EN EXPLOITATION;225kV;
VASTO;VASTON;Poste de transformation;EN EXPLOITATION;90kV;Calvados
VAUBA;VAUBAN;Poste de transformation;EN EXPLOITATION;90kV;Nord
A.NOU;ASNIERES-SUR-NOUERE;Poste de transformation;EN EXPLOITATION;225kV;Charente
NAY;NAY;Poste de transformation;EN EXPLOITATION;63kV;Pyrénées-Atlantiques
OBERH;OBERHOFFEN;Poste de transformation;EN EXPLOITATION;63kV;Bas-Rhin
VENTA;VENTAVON;Poste de transformation;EN EXPLOITATION;63kV;Hautes-Alpes
VIDAU;VIDAUBAN;Poste de transformation;EN EXPLOITATION;63kV;Var
MOUIL;MOUILLONNE (LA);Poste de transformation;EN EXPLOITATION;63kV;Haute-Garonne
MOURE;MOUREMBOZ;Poste de transformation;EN EXPLOITATION;63kV;Doubs
MOUZ5;MOUZON (PORTIQUE);Poste de transformation;EN EXPLOITATION;63kV;Ardennes
ZLACA;PIQUAGE A LACALM;Point de piquage;EN EXPLOITATION;225kV;Tarn
ZFONC;PIQUAGE A FONCROSE;Point de piquage;EN EXPLOITATION;225kV;Gironde
VENT5;RINGO-VENTAVON;Poste de transformation;EN EXPLOITATION;63kV;Hautes-Alpes
MUR;MUR (-DE-BRETAGNE);Poste de transformation;EN EXPLOITATION;225kV;Morbihan
TONN5;TONNEINS;Poste de transformation;EN EXPLOITATION;63kV;Lot-et-Garonne
LEDAR;LEDAR;Poste de transformation;EN EXPLOITATION;63kV;Ariège
BORD5;BORDES;Poste de transformation;EN EXPLOITATION;63kV;Ariège
ARVAN;ARVAN;Poste de transformation;EN EXPLOITATION;45kV;Savoie
SSAVR;ST-AVRE;Poste de transformation;EN EXPLOITATION;45kV;Savoie
GLAND;GLANDON;Poste de transformation;EN EXPLOITATION;45kV;Savoie
FAGNI;FAGNIERES;Poste de transformation;EN EXPLOITATION;63kV;Marne
H.DIE;HOTEL-DIEU;Poste de transformation;EN EXPLOITATION;225kV;Seine-Maritime
AVENN;AVENNES (LES);Poste de transformation;ACCORD ADMINISTRATIF;225kV;Aisne
ARGI5;ARGIA;Poste de transformation;EN EXPLOITATION;HORS TENSION;Pyrénées-Atlantiques
ZP.CA;PIQUAGE-A-PRADE-DE-CAUSSANUS;Point de piquage;EN EXPLOITATION;63kV;Aveyron
ZBOUS;PIQUAGE BOUSSENS (LIAISON MANCIZ31PALAM);Point de piquage;EN EXPLOITATION;63kV;Haute-Garonne
HOQUI;HOQUINS (LES);Poste de transformation;ACCORD ADMINISTRATIF;225kV;Aisne
BERG5;BERGERAC (DISTRIBUTEUR);Poste de transformation;EN EXPLOITATION;63kV;Dordogne
BEFFE;BEFFES;Poste de transformation;EN EXPLOITATION;63kV;Cher
BARTH;BARTHE (LA);Poste de transformation;EN EXPLOITATION;63kV;Hautes-Pyrénées
B.BER;BOIS-BERNARD;Poste de transformation;ACCORD ADMINISTRATIF;225kV;Pas-de-Calais
CHARE;CHARENTON;Poste de transformation;EN EXPLOITATION;225kV;Paris
MTELI;MONTELIMAR;Poste de transformation;EN EXPLOITATION;63kV;Ardèche
LISSE;LISSES;Poste de transformation;EN EXPLOITATION;225kV;Essonne
MARLE;MARLE;Poste de transformation;EN EXPLOITATION;90kV;Aisne
C.NEU;COUPELLE-NEUVE;Poste de transformation;EN EXPLOITATION;90kV;Pas-de-Calais
PELAD;PELADE;Poste de transformation;EN EXPLOITATION;225kV;Var
BERG7;BERGERIE (LA);Poste de transformation;EN EXPLOITATION;63kV;Var
CXFFA;CHAUFFAILLES;Poste de transformation;EN EXPLOITATION;63kV;Saône-et-Loire
TRUEL;TRUEL (LE);Poste de transformation;EN EXPLOITATION;63kV;Aveyron
COCHE;COCHE (LA);Poste de transformation;EN EXPLOITATION;400kV;Savoie
POUGE;POUGET (LE);Poste de transformation;EN EXPLOITATION;225kV;Aveyron
FREIG;FREIGNE;Poste de transformation;EN EXPLOITATION;90kV;Loire-Atlantique
BORDE;BORDERES;Poste de transformation;EN EXPLOITATION;63kV;Hautes-Pyrénées
GENTI;GENTILLE (LA);Poste de transformation;EN EXPLOITATION;63kV;Haute-Garonne
HAGUE;HAGUE (LA);Poste de transformation;EN EXPLOITATION;90kV;
AUBET;AUBETTE;Poste de transformation;EN EXPLOITATION;225kV;Bouches-du-Rhône
CTAUB;CHATEAUBRIANT;Poste de transformation;EN EXPLOITATION;90kV;Loire-Atlantique
PENC5;PENCHARD;Poste de transformation;EN EXPLOITATION;400kV;Seine-et-Marne
AMPLE;AMPLEPUIS;Poste de transformation;EN EXPLOITATION;63kV;Rhône
SEGRE;SEGRE;Poste de transformation;EN EXPLOITATION;90kV;Maine-et-Loire
GUCHE;GUCHEN;Poste de transformation;EN EXPLOITATION;63kV;Hautes-Pyrénées
LABAR;LABARDE;Poste de transformation;EN EXPLOITATION;63kV;Gironde
VINCE;VINCEY;Poste de transformation;EN EXPLOITATION;400kV;Vosges
LOUD5;LOUDENVIELLE (PORTIQUE);Poste de transformation;EN EXPLOITATION;63kV;Hautes-Pyrénées
PREUI;PREUILLY;Poste de transformation;EN EXPLOITATION;90kV;Indre-et-Loire
SSELO;ST-ELOI;Poste de transformation;EN EXPLOITATION;400kV;Nièvre
RAGEA;RAGEAT (LA);Poste de transformation;EN EXPLOITATION;63kV;Savoie
CRENE;CRENEY;Poste de transformation;EN EXPLOITATION;225kV;Aube
H.VIE;HERIE-LA-VIEVILLE (LE);Poste de transformation;EN EXPLOITATION;225kV;Aisne
JOURD;JOURDANIE (LA);Poste de transformation;EN EXPLOITATION;63kV;Aveyron
CORIO;CORIOLIS;Poste de transformation;EN EXPLOITATION;225kV;Paris
MEYTH;MEYTHET;Poste de transformation;EN EXPLOITATION;63kV;Haute-Savoie
SAVE5;SAVERDUN;Poste de transformation;EN EXPLOITATION;63kV;Ariège
NEVER;NEVERS;Poste de transformation;EN EXPLOITATION;63kV;Nièvre
AGUES;AGUESSAC;Poste de transformation;EN EXPLOITATION;63kV;Aveyron
CREI5;CREIL (RFF);Poste de transformation;EN EXPLOITATION;225kV;Oise
HYPER;HYPERCOURT;Poste de transformation;EN EXPLOITATION;63kV;Somme
MTREJ;MONTREJEAU;Poste de transformation;EN EXPLOITATION;63kV;Hautes-Pyrénées
BETOU;BETOUS;Poste de transformation;ACCORD ADMINISTRATIF;225kV;Bouches-du-Rhône
SSLAR;ST-LARY;Poste de transformation;EN EXPLOITATION;63kV;Hautes-Pyrénées
CIBLE;CIBLE (LA);Poste de transformation;ACCORD ADMINISTRATIF;90kV;Indre
VENUS;VENUS;Poste de transformation;ACCORD ADMINISTRATIF;225kV;Nord
VERQU;VERQUIGNEUL;Poste de transformation;EN EXPLOITATION;90kV;Pas-de-Calais
GESS2;GESSE (USINE GEH);Poste de transformation;EN EXPLOITATION;63kV;Aude
S.SAB;SAUT-DE-SABO;Poste de transformation;EN EXPLOITATION;63kV;Tarn
L.INA;LABARTHE-INARD;Poste de transformation;EN EXPLOITATION;63kV;Haute-Garonne
ZVOUZ;PIQUAGE-A-VOUZON;Point de piquage;EN EXPLOITATION;90kV;Loir-et-Cher
ZANCI;PIQUAGE AUX ANCIZES;Point de piquage;EN EXPLOITATION;225kV;Puy-de-Dôme
CORD6;CORDES;Poste de transformation;EN EXPLOITATION;63kV;Tarn
GUISL;GUISLAIN (LE);Poste de transformation;EN EXPLOITATION;90kV;Manche
N.ERD;NORT-SUR-ERDRE;Poste de transformation;EN EXPLOITATION;90kV;Loire-Atlantique
COUDR;COUDRAIE;Poste de transformation;EN EXPLOITATION;90kV;Orne
PENLY;PENLY (POSTE CENTRALE);Poste de transformation;EN EXPLOITATION;400kV;
SSFL7;ST-FLOUR (CLIENT);Poste de transformation;EN EXPLOITATION;63kV;Cantal
BAUMO;BAUMONT;Poste de transformation;EN EXPLOITATION;63kV;Doubs
CROUX;CROUX (LA);Poste de transformation;EN EXPLOITATION;63kV;Tarn
REALM;REALMONT;Poste de transformation;EN EXPLOITATION;63kV;Tarn
D.GAR;DEUVE GARBE;Poste de transformation;EN EXPLOITATION;225kV;Pas-de-Calais
COSNE;COSNE;Poste de transformation;EN EXPLOITATION;63kV;Cher
MAUZA;MAUZAC;Poste de transformation;EN EXPLOITATION;63kV;Dordogne
CAUD5;CAUDEBECQUET;Poste de transformation;EN EXPLOITATION;90kV;Seine-Maritime
SSCE5;SAINT-LAURENT-DE-CERIS;Poste de transformation;ACCORD ADMINISTRATIF;90kV;Charente
ZM.TO;PIQUAGE A MARTRES-TOLOSANE;Point de piquage;EN EXPLOITATION;63kV;Haute-Garonne
LARDI;LARDIT;Poste de transformation;EN EXPLOITATION;225kV;Aveyron
SORNA;SORNAT;Poste de transformation;EN EXPLOITATION;63kV;Allier
SQUIV;SQUIVIDAN;Poste de transformation;EN EXPLOITATION;225kV;Finistère
ANSTA;ANSTAING;Poste de transformation;EN EXPLOITATION;90kV;Nord
SSCOR;ST-ANDRE-DE-CORCY;Poste de transformation;EN EXPLOITATION;63kV;Ain
SSDIZ;ST-DIZIER;Poste de transformation;EN EXPLOITATION;63kV;Haute-Marne
SSFER;ST-FERJEUX;Poste de transformation;EN EXPLOITATION;63kV;Doubs
SSFIA;ST-FIACRE;Poste de transformation;EN EXPLOITATION;63kV;Finistère
ZNAR5;PIQUAGE LUNES (LIAISON LIVIEZ31LUNES);Point de piquage;EN EXPLOITATION;63kV;Aude
ZNEGR;PIQUAGE NEGRESSE (LIAISON MOUSSZ31SSLUZ);Point de piquage;EN EXPLOITATION;63kV;
AVEIL;AVEILLANS (LES);Poste de transformation;EN EXPLOITATION;63kV;Pyrénées-Orientales
B.DUC;BAR-LE-DUC;Poste de transformation;EN EXPLOITATION;63kV;Meuse
LESTI;LESTIOU;Poste de transformation;EN EXPLOITATION;90kV;Loir-et-Cher
LONG4;LONGCHAMP PARIS;Poste de transformation;EN EXPLOITATION;225kV;Hauts-de-Seine
M.DEP;MARCEL-DEPREZ;Poste de transformation;EN EXPLOITATION;63kV;Isère
SSMEU;ST-MICHEL-SUR-MEURTHE;Poste de transformation;EN EXPLOITATION;63kV;Vosges
SSMM5;ST-MICHEL-DE-MAURIENNE (CLIENT);Poste de transformation;EN EXPLOITATION;45kV;Savoie
SSVIE;ST-PRIVAT-DES-VIEUX;Poste de transformation;EN EXPLOITATION;63kV;Gard
SSYMO;ST-VIGOR-D'YMONVILLE;Poste de transformation;EN EXPLOITATION;90kV;Seine-Maritime
STEA5;STEAM STE EXXON A PORT JEROME;Poste de transformation;EN EXPLOITATION;90kV;Seine-Maritime
SSGE7;ST-JULIEN-EN-GENEVOIS;Poste de transformation;EN EXPLOITATION;63kV;Haute-Savoie
SSJU5;ST-JULIEN-SUR-GARONNE;Poste de transformation;EN EXPLOITATION;63kV;Haute-Garonne
SSPAZ;STE-PAZANNE;Poste de transformation;EN EXPLOITATION;63kV;Loire-Atlantique
TRANS;TRANS;Poste de transformation;EN EXPLOITATION;400kV;Var
L.OR;LION D OR;Poste de transformation;EN EXPLOITATION;90kV;Loire-Atlantique
LAMAS;LAMASTRE;Poste de transformation;EN EXPLOITATION;63kV;Ardèche
LAMAT;LAMATIVIE;Poste de transformation;EN EXPLOITATION;90kV;Corrèze
LANDE;LANDERNEAU;Poste de transformation;EN EXPLOITATION;225kV;Finistère
LAPAR;LAPARAN;Poste de transformation;EN EXPLOITATION;225kV;Ariège
LENT5;LENTIGNY;Poste de transformation;EN EXPLOITATION;63kV;Loire
LIEUS;LIEUSAINT;Poste de transformation;EN EXPLOITATION;63kV;Essonne
BRIAR;BRIARE;Poste de transformation;EN EXPLOITATION;90kV;Loiret
BRUNN;BRUNNENWASSER;Poste de transformation;EN EXPLOITATION;225kV;Bas-Rhin
PUSY;PUSY;Poste de transformation;EN EXPLOITATION;225kV;Haute-Saône
BABLO;BABLONS (LES);Poste de transformation;EN EXPLOITATION;90kV;Marne
BAJAT;BAJATIERE;Poste de transformation;EN EXPLOITATION;63kV;Isère
BARAL;BARALET;Poste de transformation;EN EXPLOITATION;63kV;Pyrénées-Atlantiques
SSCAN;ST-ETIENNE-CANTALES;Poste de transformation;EN EXPLOITATION;90kV;Cantal
MOUTI;MOUTIERS;Poste de transformation;EN EXPLOITATION;63kV;Savoie
MOUZE;MOUZEUIL;Poste de transformation;EN EXPLOITATION;90kV;Vendée
BROUZ;BROUZEN;Poste de transformation;EN EXPLOITATION;63kV;Gard
MANSA;MANSAT;Poste de transformation;EN EXPLOITATION;90kV;Creuse
