Code poste;Nom poste;FONCTION;Etat;Tension (kV);departement
ZMOH5;PIQUAGE MOHET 2;Point de piquage;EN EXPLOITATION;63kV;Somme
ZSARR;PIQUAGE A SARRALBE;Point de piquage;EN EXPLOITATION;63kV;Moselle
ZSAUM;SAUMU / AVOIN DISTR 1;Point de piquage;EN EXPLOITATION;90kV;Maine-et-Loire
MARL7;MARLENS;Poste de transformation;EN EXPLOITATION;63kV;Haute-Savoie
BOR.C;BORDEAUX-CENTRE;Poste de transformation;EN EXPLOITATION;225kV;Gironde
CBRY;CHAMBRY;Poste de transformation;EN EXPLOITATION;400kV;Seine-et-Marne
VLEFR;VILLEFRANCHE (CLIENT);Poste de transformation;EN EXPLOITATION;63kV;Rhône
NOUET;NOUETTES;Poste de transformation;EN EXPLOITATION;63kV;Marne
LOMBA;LOMBARDERIE (LA);Poste de transformation;EN EXPLOITATION;90kV;Loiret
LORIO;LORIOL;Poste de transformation;EN EXPLOITATION;63kV;Ardèche
BXFOR;BEAUFORT;Poste de transformation;EN EXPLOITATION;45kV;Savoie
BXMON;BEAUMONT (BEAUMONT-DE-PERTUIS);Poste de transformation;EN EXPLOITATION;225kV;Vaucluse
CONTR;CONTRES;Poste de transformation;EN EXPLOITATION;90kV;Loir-et-Cher
EPINE;EPINETTE;Poste de transformation;EN EXPLOITATION;225kV;Nord
OUTRE;OUTREAU;Poste de transformation;EN EXPLOITATION;90kV;
OYONN;OYONNAX;Poste de transformation;EN EXPLOITATION;63kV;Ain
MELGV;MELGVEN;Poste de transformation;EN EXPLOITATION;63kV;Finistère
TEIL;TEIL (LE);Poste de transformation;EN EXPLOITATION;63kV;Ardèche
THIBA;THIBAUDIERE (LA);Poste de transformation;EN EXPLOITATION;90kV;Vendée
TMB;T.M.B.;Poste de transformation;EN EXPLOITATION;45kV;Haute-Savoie
C.GEA;CHAMP-DU-GEAI;Poste de transformation;EN EXPLOITATION;63kV;Loire
CAMP;CAMP (LE);Poste de transformation;EN EXPLOITATION;63kV;Bouches-du-Rhône
G.ROU;GUE-AU-ROUX (LE);Poste de transformation;EN EXPLOITATION;225kV;Vendée
LUZ;LUZ;Poste de transformation;EN EXPLOITATION;63kV;Hautes-Pyrénées
CHESS;CHESSY (-LES-MINES);Poste de transformation;EN EXPLOITATION;63kV;Rhône
FROGE;FROGES;Poste de transformation;EN EXPLOITATION;225kV;Isère
COIG5;COIGNIERES;Poste de transformation;EN EXPLOITATION;63kV;Yvelines
CONF6;CONFOLENS;Poste de transformation;EN EXPLOITATION;90kV;Charente
COLO6;COLOMB;Poste de transformation;EN EXPLOITATION;63kV;Gard
CREC5;CRECHY;Poste de transformation;EN EXPLOITATION;63kV;Allier
VALE9;VALENCAY;Poste de transformation;EN EXPLOITATION;90kV;Indre
M.VIR;MONCEAUX-LA-VIROLE;Poste de transformation;EN EXPLOITATION;90kV;Corrèze
MARA8;MARANTE;Poste de transformation;EN EXPLOITATION;63kV;Yvelines
ARGE6;ARGENTEUIL;Poste de transformation;EN EXPLOITATION;225kV;Yvelines
CAVAO;CAVAOU;Poste de transformation;EN EXPLOITATION;63kV;Bouches-du-Rhône
CENON;CENON;Poste de transformation;EN EXPLOITATION;63kV;Gironde
CERN;C.E.R.N.;Poste de transformation;EN EXPLOITATION;400kV;Ain
CHAFA;CHAFAUDS;Poste de transformation;EN EXPLOITATION;90kV;Loiret
CHENE;CHENET;Poste de transformation;EN EXPLOITATION;225kV;Essonne
CHEPP;CHEPPES;Poste de transformation;EN EXPLOITATION;63kV;Marne
CHOC5;CHOCQUET;Poste de transformation;EN EXPLOITATION;90kV;Pas-de-Calais
MAZE;MAZE;Poste de transformation;EN EXPLOITATION;90kV;Maine-et-Loire
CULOZ;CULOZ;Poste de transformation;EN EXPLOITATION;63kV;Ain
CUSTI;CUSTINE;Poste de transformation;EN EXPLOITATION;225kV;Meurthe-et-Moselle
FLEAC;FLEAC;Poste de transformation;EN EXPLOITATION;225kV;Charente
CZTIL;COURTILLERE (LA);Poste de transformation;EN EXPLOITATION;90kV;Charente
ZBAR5;PIQUAGE BARTHE (LIAISON BORDEZ34LANNE);Point de piquage;EN EXPLOITATION;63kV;Hautes-Pyrénées
ZBEU5;BEUVR / MAZIN VENDI 1;Point de piquage;EN EXPLOITATION;225kV;Pas-de-Calais
ZBILO;PIQUAGE A BILHO;Point de piquage;EN EXPLOITATION;63kV;Loire-Atlantique
ZBRI5;PIQUAGE BRICHE A SAINT-DENIS (ZBRI5);Point de piquage;EN EXPLOITATION;225kV;Val-d'Oise
ZCHOL;PIQUAGE CHOLOY;Point de piquage;EN EXPLOITATION;63kV;Meurthe-et-Moselle
CAUDR;CAUDRY;Poste de transformation;EN EXPLOITATION;63kV;Nord
ZUSSA;PIQUAGE USSAT (LIAISON CSLETZ31TARAS);Point de piquage;EN EXPLOITATION;63kV;Ariège
ZVLET;PIQUAGE VILLETTE DONCHERY PYL 7;Point de piquage;EN EXPLOITATION;63kV;Ardennes
ZDOUL;PIQUAGE A DOULON;Point de piquage;EN EXPLOITATION;225kV;Loire-Atlantique
ZEGLA;PIQUAGE A LES ORMES-SUR-VOULZIE;Point de piquage;EN EXPLOITATION;63kV;Seine-et-Marne
MESSA;MESSAC;Poste de transformation;EN EXPLOITATION;90kV;Ille-et-Vilaine
MEURS;MEURSAULT;Poste de transformation;EN EXPLOITATION;63kV;Côte-d'Or
TRINI;TRINITE (LA);Poste de transformation;EN EXPLOITATION;63kV;Isère
USSAT;USSAT;Poste de transformation;EN EXPLOITATION;63kV;Ariège
N.BRI;NOTRE-DAME-DE-BRIANCON;Poste de transformation;EN EXPLOITATION;45kV;Savoie
MOND5;MONDELANGE;Poste de transformation;EN EXPLOITATION;63kV;Moselle
MORES;MORESTEL;Poste de transformation;EN EXPLOITATION;63kV;Isère
MOUNE;MOUNEDE;Poste de transformation;EN EXPLOITATION;63kV;Haute-Garonne
MRNER;MARTINERIE (LA);Poste de transformation;EN EXPLOITATION;90kV;Haute-Vienne
ZGAIL;PIQUAGE A GAILLON;Point de piquage;EN EXPLOITATION;90kV;Eure
ZJAUM;JAUME / MTMOR ZFORG 1;Point de piquage;EN EXPLOITATION;90kV;Vienne
MAC.S;MACON-SUD;Poste de transformation;EN EXPLOITATION;63kV;Saône-et-Loire
V.LAN;VILLARD-DE-LANS;Poste de transformation;EN EXPLOITATION;63kV;Isère
VAUFR;VAUFREY;Poste de transformation;EN EXPLOITATION;63kV;Doubs
ZBEFF;PIQUAGE BEFFES;Point de piquage;EN EXPLOITATION;63kV;Cher
CPIG5;CHAMPIGNY;Poste de transformation;EN EXPLOITATION;63kV;Yonne
CRECH;CRECHES;Poste de transformation;EN EXPLOITATION;63kV;Saône-et-Loire
CRUAS;CRUAS (CLIENT);Poste de transformation;EN EXPLOITATION;63kV;Ardèche
VOULZ;VOULZIE (LA);Poste de transformation;EN EXPLOITATION;225kV;Seine-et-Marne
MALMA;MALMAISON;Poste de transformation;EN EXPLOITATION;90kV;Eure
MARI6;MARIE;Poste de transformation;EN EXPLOITATION;63kV;Drôme
MARIA;MARIANNE;Poste de transformation;EN EXPLOITATION;63kV;Yvelines
NISSA;NISSAN;Poste de transformation;EN EXPLOITATION;63kV;Hérault
CAUDE;CAUDEAU;Poste de transformation;EN EXPLOITATION;63kV;Dordogne
