statut;geo_point_2d;geo_shape
En exploitation;41.95886045, 8.79854995;"{""coordinates"": [[8.7984821, 41.9587288], [8.7986178, 41.9589921]], ""type"": ""LineString""}"
En exploitation;41.959295747469184, 8.799134949303278;"{""coordinates"": [[8.7986178, 41.9589921], [8.799097, 41.9592916], [8.7996128, 41.959547], [8.7996665, 41.9595736]], ""type"": ""LineString""}"
En exploitation;41.96015256518919, 8.799568064432366;"{""coordinates"": [[8.7999518, 41.9597976], [8.7999476, 41.9598009], [8.7999019, 41.9598405], [8.7996857, 41.9600269], [8.7994566, 41.9602245], [8.7992735, 41.960486], [8.7992325, 41.9605446], [8.7992296, 41.9605485]], ""type"": ""LineString""}"
En exploitation;41.95800983656724, 8.799071332850874;"{""coordinates"": [[8.7990552, 41.9584165], [8.7991178, 41.9580788], [8.799115, 41.9580608], [8.7990107, 41.9576367], [8.7989926, 41.9576187], [8.7989884, 41.9576134]], ""type"": ""LineString""}"
En exploitation;41.95812846972222, 8.7985602370692;"{""coordinates"": [[8.7990071, 41.9584192], [8.798119, 41.9578414], [8.7981134, 41.9578377]], ""type"": ""LineString""}"
En exploitation;41.95772815334217, 8.797975247345677;"{""coordinates"": [[8.7981134, 41.9578377], [8.7978415, 41.9576221], [8.7978371, 41.9576186]], ""type"": ""LineString""}"
En exploitation;42.002712729314176, 8.7796814671969;"{""coordinates"": [[8.7796969, 42.0026937], [8.7796944, 42.0026979], [8.7796654, 42.0027313]], ""type"": ""LineString""}"
En exploitation;42.002699571895405, 8.779236382386392;"{""coordinates"": [[8.7796654, 42.0027313], [8.7788135, 42.0026683], [8.7788074, 42.0026675]], ""type"": ""LineString""}"
En exploitation;42.002935892938986, 8.7795525801987;"{""coordinates"": [[8.7796654, 42.0027313], [8.779484, 42.0030603], [8.7794428, 42.0031349], [8.779439, 42.00314]], ""type"": ""LineString""}"
En exploitation;42.00269894153195, 8.779852000962299;"{""coordinates"": [[8.7797223, 42.0026842], [8.7797884, 42.0026917], [8.7799817, 42.0027137]], ""type"": ""LineString""}"
En exploitation;42.002985529553925, 8.780446420211579;"{""coordinates"": [[8.7803591, 42.0029002], [8.7805301, 42.0030673], [8.7805337, 42.0030709]], ""type"": ""LineString""}"
En exploitation;42.00217225479269, 8.780604882090216;"{""coordinates"": [[8.7800884, 42.0022588], [8.7802382, 42.0021774], [8.7806232, 42.0021446], [8.7807692, 42.002132], [8.7811265, 42.0022192], [8.7811322, 42.0022205]], ""type"": ""LineString""}"
